s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
13.0	36.0	36.0	15.0	23.0	33.0	12.0	20.0	37.0	11.0	51.0	30.0	21.0	35.0	26.0	14.0	20.0	35.0	34.0	21.0	156
17.0	31.0	36.0	19.0	21.0	33.0	19.0	26.0	28.0	8.0	45.0	33.0	37.0	36.0	20.0	21.0	9.0	34.0	32.0	21.0	157
17.0	18.0	33.0	16.0	17.0	40.0	23.0	28.0	29.0	5.0	48.0	43.0	35.0	34.0	29.0	18.0	11.0	28.0	22.0	27.0	158
18.0	19.0	27.0	24.0	25.0	39.0	15.0	21.0	45.0	7.0	44.0	36.0	16.0	17.0	23.0	17.0	14.0	30.0	31.0	26.0	159
13.0	18.0	17.0	20.0	21.0	16.0	18.0	15.0	27.0	6.0	46.0	29.0	22.0	28.0	22.0	26.0	11.0	16.0	22.0	23.0	160
11.0	25.0	12.0	26.0	18.0	16.0	23.0	15.0	32.0	11.0	47.0	21.0	23.0	27.0	17.0	18.0	9.0	24.0	21.0	27.0	161
29.0	18.0	24.0	45.0	20.0	13.0	15.0	22.0	36.0	6.0	45.0	35.0	19.0	32.0	14.0	13.0	16.0	32.0	15.0	24.0	162
31.0	16.0	25.0	35.0	10.0	14.0	19.0	20.0	29.0	7.0	39.0	27.0	18.0	27.0	20.0	21.0	10.0	28.0	18.0	15.0	163
22.0	15.0	17.0	32.0	20.0	19.0	26.0	19.0	25.0	12.0	31.0	27.0	21.0	29.0	15.0	30.0	12.0	31.0	9.0	18.0	164
21.0	15.0	24.0	25.0	26.0	21.0	21.0	16.0	21.0	9.0	34.0	25.0	14.0	17.0	18.0	23.0	11.0	34.0	13.0	22.0	165
16.0	17.0	17.0	19.0	34.0	27.0	19.0	15.0	30.0	18.0	35.0	44.0	9.0	10.0	16.0	17.0	10.0	34.0	13.0	16.0	166
29.0	17.0	19.0	23.0	33.0	15.0	24.0	14.0	28.0	11.0	27.0	25.0	16.0	26.0	13.0	21.0	7.0	14.0	11.0	10.0	167
22.0	27.0	25.0	20.0	31.0	12.0	25.0	17.0	40.0	14.0	29.0	17.0	39.0	18.0	15.0	29.0	13.0	15.0	9.0	16.0	168
16.0	27.0	20.0	31.0	35.0	15.0	42.0	17.0	42.0	4.0	35.0	24.0	26.0	15.0	26.0	24.0	11.0	11.0	9.0	21.0	169
13.0	22.0	8.0	21.0	30.0	5.0	23.0	6.0	38.0	5.0	24.0	14.0	37.0	15.0	30.0	18.0	14.0	12.0	15.0	25.0	170
9.0	17.0	15.0	14.0	39.0	14.0	26.0	14.0	44.0	10.0	20.0	8.0	27.0	11.0	27.0	22.0	16.0	16.0	14.0	32.0	171
17.0	15.0	11.0	8.0	22.0	11.0	30.0	10.0	26.0	11.0	34.0	16.0	10.0	15.0	36.0	13.0	14.0	11.0	11.0	26.0	172
15.0	24.0	10.0	9.0	22.0	10.0	25.0	17.0	27.0	23.0	29.0	12.0	15.0	15.0	27.0	15.0	10.0	25.0	16.0	12.0	173
19.0	16.0	18.0	7.0	12.0	11.0	15.0	9.0	23.0	13.0	41.0	12.0	14.0	24.0	16.0	21.0	17.0	14.0	16.0	16.0	174
18.0	20.0	15.0	7.0	20.0	9.0	28.0	10.0	27.0	17.0	35.0	15.0	14.0	24.0	18.0	13.0	13.0	14.0	11.0	17.0	175
28.0	22.0	15.0	8.0	21.0	12.0	29.0	5.0	26.0	12.0	38.0	8.0	14.0	26.0	21.0	25.0	22.0	12.0	10.0	21.0	176
22.0	22.0	7.0	19.0	28.0	14.0	23.0	6.0	20.0	13.0	36.0	15.0	12.0	23.0	12.0	9.0	24.0	16.0	11.0	10.0	177
22.0	14.0	12.0	15.0	14.0	10.0	20.0	6.0	26.0	4.0	35.0	8.0	10.0	25.0	5.0	20.0	15.0	9.0	11.0	33.0	178
37.0	27.0	10.0	10.0	24.0	9.0	15.0	9.0	14.0	15.0	25.0	4.0	8.0	22.0	12.0	16.0	15.0	7.0	16.0	21.0	179
29.0	25.0	11.0	15.0	16.0	14.0	11.0	9.0	20.0	8.0	25.0	18.0	15.0	8.0	13.0	4.0	14.0	17.0	21.0	17.0	180
29.0	19.0	9.0	15.0	15.0	10.0	6.0	13.0	16.0	9.0	25.0	8.0	9.0	22.0	14.0	17.0	10.0	26.0	42.0	20.0	181
16.0	16.0	14.0	22.0	20.0	15.0	17.0	15.0	31.0	14.0	31.0	7.0	11.0	22.0	26.0	12.0	5.0	24.0	13.0	31.0	182
12.0	14.0	9.0	8.0	10.0	6.0	17.0	31.0	18.0	15.0	22.0	10.0	9.0	22.0	21.0	16.0	7.0	13.0	10.0	24.0	183
10.0	8.0	8.0	23.0	12.0	11.0	18.0	33.0	25.0	20.0	23.0	7.0	7.0	17.0	31.0	11.0	6.0	12.0	15.0	20.0	184
3.0	18.0	16.0	24.0	21.0	6.0	13.0	23.0	17.0	12.0	22.0	12.0	17.0	19.0	18.0	10.0	7.0	7.0	13.0	18.0	185
16.0	16.0	17.0	14.0	18.0	10.0	14.0	25.0	12.0	2.0	37.0	14.0	18.0	8.0	25.0	4.0	9.0	14.0	18.0	18.0	186
10.0	6.0	13.0	17.0	11.0	7.0	14.0	16.0	14.0	13.0	36.0	9.0	12.0	9.0	15.0	6.0	5.0	10.0	11.0	22.0	187
12.0	15.0	18.0	9.0	17.0	6.0	26.0	4.0	21.0	14.0	38.0	13.0	14.0	9.0	12.0	2.0	13.0	10.0	9.0	13.0	188
8.0	7.0	21.0	18.0	21.0	9.0	27.0	10.0	13.0	3.0	44.0	13.0	20.0	4.0	11.0	6.0	12.0	6.0	12.0	24.0	189
8.0	21.0	19.0	15.0	17.0	15.0	27.0	16.0	17.0	11.0	27.0	21.0	21.0	13.0	12.0	3.0	8.0	8.0	16.0	28.0	190
7.0	5.0	33.0	22.0	12.0	10.0	15.0	6.0	36.0	11.0	45.0	11.0	29.0	5.0	9.0	3.0	12.0	10.0	11.0	20.0	191
9.0	16.0	24.0	17.0	22.0	11.0	16.0	7.0	25.0	11.0	35.0	17.0	23.0	3.0	10.0	4.0	20.0	3.0	10.0	19.0	192
8.0	8.0	20.0	14.0	23.0	4.0	8.0	8.0	22.0	6.0	21.0	36.0	12.0	4.0	7.0	2.0	14.0	4.0	13.0	14.0	193
4.0	8.0	18.0	14.0	24.0	8.0	8.0	9.0	16.0	5.0	23.0	20.0	13.0	5.0	9.0	4.0	31.0	8.0	12.0	14.0	194
7.0	8.0	22.0	10.0	19.0	12.0	5.0	4.0	9.0	2.0	20.0	22.0	7.0	4.0	12.0	3.0	19.0	11.0	15.0	8.0	195
15.0	8.0	12.0	10.0	17.0	21.0	7.0	8.0	20.0	6.0	32.0	19.0	19.0	14.0	20.0	3.0	16.0	7.0	13.0	10.0	196
8.0	6.0	13.0	14.0	11.0	13.0	12.0	13.0	12.0	6.0	34.0	13.0	7.0	11.0	14.0	3.0	20.0	8.0	18.0	14.0	197
13.0	8.0	7.0	18.0	17.0	14.0	11.0	3.0	13.0	4.0	18.0	17.0	12.0	14.0	15.0	5.0	17.0	6.0	9.0	12.0	198
14.0	4.0	14.0	14.0	11.0	9.0	8.0	13.0	11.0	5.0	29.0	20.0	6.0	11.0	11.0	5.0	18.0	14.0	9.0	15.0	199
10.0	3.0	12.0	6.0	15.0	9.0	4.0	10.0	10.0	5.0	42.0	29.0	10.0	11.0	13.0	2.0	20.0	14.0	9.0	13.0	200
14.0	7.0	12.0	9.0	15.0	5.0	14.0	15.0	11.0	8.0	22.0	36.0	21.0	9.0	7.0	1.0	18.0	15.0	13.0	16.0	201
23.0	4.0	13.0	5.0	11.0	15.0	6.0	7.0	12.0	9.0	15.0	19.0	15.0	13.0	4.0	1.0	13.0	14.0	13.0	13.0	202
8.0	4.0	7.0	8.0	7.0	9.0	8.0	14.0	11.0	7.0	24.0	15.0	8.0	10.0	5.0	7.0	17.0	13.0	3.0	13.0	203
10.0	3.0	11.0	8.0	16.0	7.0	19.0	10.0	9.0	6.0	20.0	15.0	5.0	18.0	4.0	5.0	11.0	15.0	7.0	12.0	204
12.0	4.0	6.0	14.0	23.0	4.0	9.0	14.0	10.0	15.0	16.0	18.0	6.0	17.0	9.0	3.0	18.0	12.0	9.0	13.0	205
20.0	5.0	17.0	4.0	20.0	14.0	15.0	9.0	8.0	4.0	13.0	15.0	10.0	9.0	9.0	6.0	24.0	12.0	11.0	8.0	206
8.0	2.0	12.0	11.0	14.0	19.0	13.0	11.0	12.0	1.0	21.0	12.0	8.0	15.0	9.0	9.0	19.0	8.0	13.0	19.0	207
2.0	5.0	13.0	5.0	9.0	19.0	16.0	12.0	9.0	2.0	18.0	11.0	6.0	19.0	8.0	14.0	26.0	9.0	12.0	17.0	208
5.0	5.0	25.0	4.0	15.0	12.0	15.0	5.0	7.0	8.0	18.0	20.0	12.0	14.0	11.0	8.0	31.0	9.0	7.0	15.0	209
5.0	9.0	17.0	7.0	13.0	12.0	9.0	10.0	7.0	8.0	8.0	14.0	10.0	18.0	6.0	9.0	21.0	14.0	9.0	12.0	210
3.0	5.0	16.0	6.0	11.0	7.0	8.0	8.0	9.0	10.0	18.0	13.0	11.0	11.0	13.0	11.0	17.0	9.0	8.0	10.0	211
5.0	6.0	17.0	6.0	9.0	10.0	5.0	5.0	10.0	7.0	10.0	16.0	9.0	7.0	27.0	3.0	6.0	10.0	6.0	17.0	212
9.0	4.0	15.0	7.0	7.0	13.0	4.0	7.0	10.0	5.0	13.0	14.0	7.0	8.0	11.0	5.0	9.0	12.0	10.0	8.0	213
6.0	14.0	9.0	10.0	5.0	14.0	5.0	11.0	6.0	7.0	18.0	12.0	6.0	6.0	13.0	11.0	9.0	6.0	5.0	5.0	214
11.0	11.0	13.0	13.0	4.0	14.0	5.0	19.0	7.0	10.0	22.0	9.0	6.0	10.0	8.0	4.0	10.0	7.0	7.0	5.0	215
11.0	15.0	10.0	13.0	5.0	8.0	7.0	26.0	7.0	3.0	12.0	7.0	2.0	13.0	16.0	12.0	4.0	10.0	5.0	10.0	216
9.0	13.0	15.0	5.0	6.0	4.0	7.0	9.0	12.0	10.0	14.0	8.0	6.0	11.0	7.0	8.0	17.0	25.0	8.0	15.0	217
10.0	14.0	6.0	9.0	4.0	5.0	2.0	16.0	8.0	7.0	14.0	2.0	6.0	9.0	6.0	12.0	12.0	19.0	8.0	11.0	218
15.0	5.0	11.0	17.0	4.0	5.0	12.0	15.0	13.0	3.0	15.0	9.0	2.0	8.0	2.0	7.0	23.0	8.0	8.0	12.0	219
18.0	4.0	14.0	9.0	11.0	5.0	16.0	17.0	8.0	6.0	18.0	7.0	5.0	5.0	3.0	4.0	7.0	10.0	10.0	7.0	220
20.0	6.0	14.0	7.0	9.0	8.0	7.0	23.0	9.0	4.0	17.0	18.0	2.0	7.0	3.0	8.0	13.0	18.0	7.0	13.0	221
11.0	8.0	8.0	21.0	3.0	7.0	20.0	20.0	16.0	5.0	19.0	22.0	5.0	6.0	6.0	7.0	15.0	15.0	4.0	22.0	222
14.0	8.0	13.0	13.0	12.0	9.0	16.0	22.0	13.0	6.0	15.0	17.0	7.0	9.0	7.0	11.0	15.0	7.0	12.0	17.0	223
8.0	5.0	16.0	20.0	14.0	9.0	26.0	21.0	15.0	3.0	21.0	3.0	2.0	5.0	7.0	6.0	9.0	16.0	7.0	15.0	224
9.0	6.0	18.0	12.0	4.0	9.0	25.0	11.0	16.0	8.0	12.0	7.0	3.0	10.0	9.0	8.0	11.0	10.0	5.0	10.0	225
7.0	6.0	7.0	5.0	6.0	9.0	10.0	15.0	7.0	7.0	12.0	6.0	10.0	6.0	7.0	9.0	13.0	3.0	5.0	8.0	226
10.0	6.0	7.0	4.0	5.0	11.0	7.0	8.0	13.0	7.0	7.0	9.0	8.0	8.0	6.0	7.0	9.0	7.0	16.0	13.0	227
5.0	10.0	9.0	4.0	8.0	13.0	10.0	10.0	9.0	8.0	9.0	5.0	5.0	0.0	3.0	7.0	10.0	12.0	12.0	14.0	228
5.0	9.0	7.0	3.0	2.0	11.0	4.0	6.0	12.0	4.0	10.0	4.0	9.0	8.0	5.0	9.0	6.0	7.0	12.0	11.0	229
12.0	16.0	7.0	2.0	6.0	8.0	13.0	1.0	10.0	10.0	10.0	9.0	4.0	8.0	9.0	8.0	9.0	20.0	16.0	10.0	230
11.0	7.0	1.0	4.0	4.0	5.0	8.0	9.0	6.0	7.0	13.0	8.0	5.0	6.0	5.0	6.0	7.0	23.0	10.0	12.0	231
5.0	7.0	9.0	7.0	6.0	3.0	5.0	2.0	11.0	10.0	15.0	4.0	9.0	8.0	5.0	6.0	11.0	22.0	9.0	11.0	232
4.0	14.0	7.0	5.0	6.0	2.0	6.0	10.0	9.0	7.0	12.0	8.0	3.0	8.0	4.0	4.0	7.0	12.0	22.0	18.0	233
10.0	9.0	9.0	7.0	5.0	4.0	2.0	5.0	14.0	10.0	19.0	13.0	7.0	8.0	3.0	6.0	15.0	30.0	17.0	5.0	234
2.0	12.0	2.0	4.0	7.0	5.0	8.0	5.0	11.0	9.0	22.0	7.0	3.0	21.0	7.0	1.0	8.0	19.0	13.0	12.0	235
2.0	14.0	6.0	4.0	4.0	6.0	12.0	4.0	8.0	7.0	25.0	2.0	5.0	10.0	4.0	8.0	10.0	21.0	10.0	10.0	236
5.0	8.0	3.0	4.0	2.0	6.0	3.0	9.0	10.0	6.0	18.0	9.0	5.0	3.0	3.0	5.0	9.0	21.0	5.0	8.0	237
3.0	9.0	7.0	7.0	2.0	12.0	2.0	5.0	12.0	14.0	17.0	9.0	15.0	1.0	7.0	18.0	10.0	6.0	7.0	10.0	238
6.0	4.0	3.0	7.0	3.0	5.0	2.0	3.0	9.0	10.0	21.0	12.0	15.0	5.0	4.0	16.0	9.0	12.0	6.0	9.0	239
5.0	10.0	1.0	4.0	1.0	7.0	4.0	7.0	9.0	3.0	15.0	11.0	18.0	4.0	3.0	4.0	7.0	10.0	8.0	6.0	240
2.0	6.0	5.0	4.0	2.0	5.0	1.0	13.0	18.0	5.0	11.0	10.0	6.0	4.0	7.0	7.0	9.0	9.0	11.0	9.0	241
5.0	8.0	4.0	4.0	1.0	5.0	13.0	15.0	16.0	7.0	18.0	4.0	6.0	4.0	5.0	14.0	6.0	10.0	7.0	6.0	242
6.0	5.0	8.0	7.0	3.0	8.0	5.0	7.0	29.0	5.0	17.0	5.0	7.0	4.0	4.0	2.0	12.0	8.0	5.0	7.0	243
11.0	17.0	6.0	10.0	3.0	4.0	6.0	6.0	7.0	9.0	21.0	9.0	8.0	2.0	12.0	4.0	5.0	6.0	5.0	4.0	244
8.0	14.0	9.0	14.0	2.0	4.0	9.0	3.0	10.0	6.0	16.0	10.0	11.0	6.0	12.0	3.0	8.0	15.0	4.0	11.0	245
4.0	4.0	3.0	12.0	4.0	4.0	10.0	14.0	15.0	4.0	16.0	4.0	12.0	3.0	8.0	7.0	11.0	8.0	5.0	8.0	246
9.0	12.0	8.0	4.0	6.0	5.0	9.0	12.0	6.0	4.0	15.0	6.0	10.0	8.0	6.0	3.0	7.0	11.0	10.0	6.0	247
10.0	15.0	4.0	1.0	4.0	1.0	9.0	18.0	12.0	4.0	19.0	9.0	6.0	9.0	13.0	2.0	6.0	13.0	7.0	4.0	248
10.0	8.0	8.0	3.0	11.0	6.0	5.0	17.0	6.0	4.0	10.0	6.0	7.0	7.0	10.0	2.0	8.0	13.0	5.0	5.0	249
8.0	17.0	7.0	7.0	7.0	3.0	9.0	6.0	3.0	7.0	16.0	16.0	3.0	4.0	11.0	4.0	14.0	9.0	7.0	5.0	250
2.0	8.0	5.0	6.0	9.0	2.0	7.0	17.0	5.0	7.0	5.0	12.0	5.0	4.0	11.0	2.0	8.0	13.0	4.0	6.0	251
8.0	6.0	7.0	5.0	20.0	1.0	12.0	14.0	8.0	10.0	5.0	10.0	4.0	3.0	3.0	1.0	11.0	17.0	5.0	3.0	252
11.0	7.0	6.0	8.0	18.0	2.0	4.0	9.0	3.0	18.0	6.0	9.0	6.0	6.0	7.0	8.0	8.0	12.0	3.0	5.0	253
3.0	10.0	2.0	3.0	9.0	0.0	10.0	2.0	12.0	20.0	5.0	9.0	10.0	5.0	7.0	1.0	14.0	20.0	2.0	6.0	254
6.0	9.0	15.0	7.0	8.0	5.0	2.0	11.0	7.0	12.0	6.0	2.0	3.0	3.0	6.0	4.0	15.0	9.0	3.0	3.0	255
5.0	5.0	16.0	3.0	4.0	4.0	12.0	9.0	7.0	9.0	8.0	15.0	7.0	5.0	6.0	0.0	18.0	10.0	10.0	5.0	256
2.0	9.0	11.0	5.0	4.0	4.0	5.0	14.0	6.0	12.0	10.0	7.0	6.0	6.0	11.0	3.0	28.0	6.0	6.0	10.0	257
6.0	11.0	12.0	2.0	5.0	3.0	13.0	12.0	6.0	11.0	8.0	12.0	2.0	6.0	4.0	8.0	9.0	11.0	6.0	10.0	258
1.0	10.0	13.0	6.0	5.0	1.0	12.0	10.0	5.0	9.0	10.0	9.0	3.0	9.0	2.0	1.0	16.0	13.0	9.0	11.0	259
5.0	13.0	8.0	4.0	4.0	1.0	10.0	14.0	10.0	5.0	11.0	8.0	3.0	6.0	9.0	5.0	21.0	11.0	4.0	6.0	260
2.0	8.0	12.0	9.0	4.0	4.0	6.0	7.0	9.0	12.0	7.0	16.0	2.0	10.0	8.0	3.0	12.0	6.0	8.0	10.0	261
1.0	9.0	11.0	10.0	6.0	4.0	8.0	7.0	1.0	5.0	6.0	14.0	8.0	7.0	14.0	1.0	11.0	7.0	3.0	6.0	262
4.0	4.0	11.0	4.0	4.0	12.0	6.0	7.0	4.0	8.0	6.0	10.0	5.0	4.0	8.0	1.0	11.0	4.0	4.0	10.0	263
4.0	9.0	9.0	7.0	9.0	1.0	4.0	9.0	4.0	10.0	0.0	6.0	2.0	4.0	14.0	2.0	5.0	8.0	5.0	5.0	264
1.0	3.0	13.0	11.0	8.0	5.0	8.0	6.0	8.0	13.0	8.0	9.0	5.0	4.0	17.0	3.0	6.0	8.0	4.0	7.0	265
4.0	12.0	10.0	2.0	4.0	8.0	5.0	0.0	3.0	22.0	12.0	7.0	11.0	7.0	10.0	4.0	6.0	4.0	5.0	13.0	266
4.0	7.0	5.0	7.0	7.0	4.0	7.0	6.0	11.0	15.0	19.0	3.0	9.0	5.0	16.0	2.0	5.0	3.0	4.0	5.0	267
5.0	6.0	5.0	4.0	7.0	4.0	11.0	7.0	15.0	12.0	4.0	7.0	7.0	4.0	9.0	2.0	10.0	10.0	8.0	9.0	268
0.0	17.0	9.0	6.0	2.0	1.0	8.0	0.0	2.0	6.0	12.0	10.0	10.0	2.0	11.0	5.0	7.0	11.0	8.0	11.0	269
1.0	23.0	3.0	5.0	3.0	6.0	6.0	3.0	6.0	8.0	8.0	7.0	15.0	5.0	8.0	4.0	7.0	18.0	7.0	11.0	270
1.0	15.0	6.0	5.0	8.0	3.0	9.0	5.0	4.0	13.0	11.0	1.0	3.0	10.0	8.0	5.0	4.0	15.0	11.0	8.0	271
3.0	13.0	5.0	11.0	9.0	4.0	6.0	2.0	6.0	9.0	9.0	3.0	11.0	2.0	10.0	0.0	6.0	13.0	5.0	7.0	272
0.0	5.0	5.0	3.0	2.0	4.0	13.0	5.0	3.0	9.0	5.0	5.0	12.0	2.0	10.0	2.0	11.0	8.0	4.0	8.0	273
1.0	7.0	12.0	10.0	5.0	1.0	5.0	4.0	5.0	14.0	3.0	5.0	13.0	5.0	21.0	7.0	7.0	15.0	3.0	9.0	274
1.0	9.0	7.0	3.0	4.0	3.0	5.0	4.0	5.0	13.0	16.0	7.0	8.0	6.0	20.0	6.0	9.0	12.0	2.0	7.0	275
1.0	11.0	12.0	9.0	6.0	4.0	3.0	4.0	4.0	18.0	12.0	6.0	5.0	5.0	10.0	9.0	8.0	6.0	3.0	5.0	276
1.0	11.0	9.0	3.0	3.0	8.0	2.0	7.0	7.0	11.0	3.0	8.0	8.0	6.0	5.0	10.0	10.0	4.0	8.0	8.0	277
0.0	9.0	6.0	5.0	3.0	6.0	8.0	8.0	8.0	9.0	6.0	4.0	8.0	3.0	3.0	6.0	8.0	4.0	4.0	7.0	278
0.0	5.0	6.0	7.0	0.0	17.0	5.0	8.0	10.0	5.0	8.0	4.0	9.0	7.0	1.0	3.0	13.0	3.0	5.0	3.0	279
0.0	7.0	14.0	6.0	3.0	5.0	4.0	13.0	14.0	4.0	9.0	3.0	6.0	7.0	2.0	8.0	9.0	7.0	8.0	7.0	280
1.0	4.0	24.0	5.0	3.0	9.0	13.0	12.0	17.0	3.0	3.0	1.0	3.0	5.0	2.0	3.0	8.0	3.0	6.0	5.0	281
1.0	5.0	7.0	1.0	5.0	1.0	6.0	7.0	19.0	3.0	4.0	3.0	8.0	9.0	2.0	4.0	8.0	5.0	7.0	6.0	282
1.0	9.0	3.0	8.0	3.0	1.0	15.0	4.0	16.0	4.0	4.0	2.0	5.0	6.0	3.0	5.0	14.0	4.0	7.0	4.0	283
1.0	4.0	5.0	4.0	3.0	2.0	11.0	8.0	6.0	7.0	7.0	1.0	6.0	13.0	1.0	5.0	5.0	4.0	5.0	4.0	284
1.0	5.0	5.0	4.0	4.0	4.0	6.0	8.0	8.0	3.0	8.0	4.0	4.0	9.0	2.0	6.0	5.0	6.0	10.0	9.0	285
1.0	5.0	5.0	5.0	1.0	2.0	8.0	9.0	7.0	5.0	6.0	2.0	3.0	5.0	2.0	2.0	6.0	3.0	6.0	7.0	286
2.0	3.0	6.0	1.0	3.0	5.0	5.0	5.0	2.0	6.0	7.0	4.0	4.0	7.0	1.0	5.0	6.0	8.0	7.0	12.0	287
1.0	5.0	7.0	1.0	6.0	1.0	3.0	17.0	1.0	6.0	10.0	7.0	8.0	6.0	2.0	1.0	4.0	6.0	10.0	8.0	288
2.0	3.0	13.0	6.0	8.0	1.0	3.0	12.0	2.0	10.0	11.0	6.0	7.0	5.0	3.0	4.0	4.0	5.0	4.0	14.0	289
0.0	7.0	4.0	3.0	5.0	3.0	7.0	2.0	2.0	9.0	5.0	2.0	6.0	5.0	1.0	3.0	3.0	12.0	2.0	9.0	290
1.0	5.0	2.0	7.0	7.0	3.0	4.0	3.0	1.0	3.0	4.0	3.0	6.0	8.0	1.0	7.0	6.0	16.0	5.0	4.0	291
0.0	3.0	7.0	7.0	0.0	9.0	4.0	2.0	6.0	3.0	7.0	0.0	12.0	3.0	3.0	11.0	4.0	8.0	9.0	6.0	292
1.0	5.0	3.0	5.0	1.0	3.0	6.0	1.0	2.0	2.0	6.0	2.0	2.0	7.0	1.0	3.0	8.0	5.0	5.0	11.0	293
1.0	2.0	3.0	7.0	6.0	17.0	5.0	1.0	5.0	4.0	6.0	5.0	10.0	3.0	1.0	7.0	10.0	10.0	4.0	9.0	294
1.0	4.0	3.0	7.0	4.0	7.0	3.0	4.0	0.0	5.0	9.0	8.0	6.0	9.0	2.0	2.0	7.0	6.0	10.0	13.0	295
0.0	9.0	3.0	2.0	6.0	7.0	4.0	2.0	3.0	2.0	9.0	7.0	13.0	10.0	1.0	2.0	8.0	2.0	2.0	12.0	296
1.0	6.0	10.0	5.0	1.0	8.0	3.0	1.0	3.0	5.0	11.0	2.0	5.0	10.0	1.0	3.0	3.0	2.0	16.0	9.0	297
1.0	8.0	4.0	7.0	5.0	14.0	2.0	1.0	1.0	3.0	10.0	1.0	6.0	5.0	2.0	1.0	9.0	4.0	9.0	13.0	298
0.0	5.0	4.0	5.0	5.0	12.0	4.0	3.0	10.0	5.0	8.0	6.0	6.0	9.0	2.0	4.0	7.0	4.0	4.0	14.0	299
1.0	2.0	2.0	4.0	5.0	3.0	4.0	1.0	1.0	1.0	5.0	5.0	10.0	8.0	2.0	2.0	5.0	5.0	5.0	7.0	300
0.0	5.0	0.0	3.0	6.0	2.0	5.0	1.0	5.0	2.0	8.0	1.0	7.0	2.0	1.0	7.0	7.0	8.0	8.0	11.0	301
3.0	0.0	3.0	5.0	2.0	3.0	1.0	5.0	3.0	2.0	4.0	2.0	5.0	11.0	0.0	2.0	9.0	6.0	8.0	10.0	302
2.0	3.0	3.0	4.0	3.0	1.0	3.0	0.0	7.0	4.0	1.0	3.0	8.0	5.0	1.0	3.0	4.0	7.0	9.0	11.0	303
1.0	3.0	1.0	6.0	1.0	5.0	0.0	4.0	0.0	4.0	15.0	4.0	15.0	12.0	2.0	4.0	9.0	12.0	11.0	10.0	304
2.0	2.0	5.0	7.0	5.0	3.0	7.0	1.0	3.0	4.0	11.0	4.0	8.0	6.0	0.0	4.0	8.0	6.0	7.0	2.0	305
2.0	1.0	0.0	7.0	2.0	2.0	3.0	3.0	5.0	1.0	6.0	4.0	10.0	9.0	1.0	4.0	12.0	14.0	4.0	5.0	306
4.0	1.0	1.0	7.0	4.0	0.0	4.0	1.0	3.0	5.0	4.0	4.0	7.0	13.0	1.0	3.0	8.0	7.0	3.0	6.0	307
3.0	3.0	3.0	10.0	4.0	4.0	3.0	1.0	6.0	1.0	7.0	4.0	8.0	8.0	0.0	2.0	17.0	6.0	6.0	9.0	308
0.0	1.0	6.0	7.0	4.0	3.0	2.0	3.0	3.0	4.0	5.0	2.0	5.0	5.0	2.0	3.0	8.0	9.0	7.0	11.0	309
2.0	4.0	10.0	6.0	5.0	0.0	2.0	2.0	5.0	3.0	10.0	2.0	4.0	8.0	1.0	1.0	18.0	6.0	8.0	3.0	310
2.0	1.0	12.0	12.0	2.0	4.0	0.0	2.0	8.0	2.0	7.0	2.0	3.0	7.0	1.0	3.0	10.0	3.0	9.0	10.0	311
0.0	1.0	1.0	7.0	6.0	2.0	2.0	2.0	6.0	1.0	9.0	2.0	6.0	11.0	2.0	5.0	9.0	2.0	9.0	8.0	312
0.0	6.0	2.0	6.0	9.0	4.0	1.0	2.0	8.0	2.0	5.0	4.0	2.0	6.0	3.0	4.0	13.0	6.0	5.0	11.0	313
2.0	4.0	1.0	11.0	6.0	0.0	2.0	4.0	6.0	1.0	9.0	4.0	9.0	5.0	1.0	5.0	4.0	1.0	5.0	5.0	314
2.0	4.0	0.0	16.0	9.0	3.0	2.0	2.0	4.0	3.0	5.0	1.0	11.0	4.0	1.0	5.0	8.0	4.0	6.0	8.0	315
1.0	4.0	0.0	11.0	9.0	1.0	3.0	3.0	2.0	2.0	9.0	1.0	4.0	4.0	1.0	9.0	11.0	6.0	5.0	5.0	316
1.0	6.0	1.0	7.0	8.0	1.0	3.0	5.0	5.0	0.0	3.0	4.0	4.0	4.0	3.0	5.0	5.0	3.0	3.0	4.0	317
1.0	3.0	3.0	7.0	10.0	1.0	1.0	2.0	1.0	6.0	6.0	7.0	4.0	3.0	2.0	6.0	4.0	7.0	5.0	2.0	318
2.0	5.0	1.0	7.0	11.0	1.0	5.0	3.0	6.0	4.0	6.0	1.0	4.0	2.0	4.0	5.0	3.0	1.0	8.0	6.0	319
2.0	3.0	0.0	5.0	6.0	0.0	8.0	2.0	2.0	1.0	5.0	1.0	1.0	9.0	3.0	3.0	6.0	5.0	4.0	6.0	320
0.0	1.0	2.0	8.0	3.0	0.0	5.0	4.0	6.0	1.0	8.0	4.0	1.0	5.0	2.0	5.0	2.0	3.0	6.0	5.0	321
2.0	2.0	2.0	11.0	8.0	0.0	4.0	3.0	3.0	1.0	8.0	4.0	2.0	3.0	0.0	3.0	5.0	3.0	6.0	16.0	322
0.0	4.0	0.0	6.0	2.0	2.0	3.0	2.0	2.0	1.0	7.0	2.0	2.0	12.0	1.0	4.0	10.0	0.0	12.0	19.0	323
2.0	2.0	1.0	11.0	3.0	1.0	1.0	5.0	9.0	0.0	1.0	5.0	1.0	5.0	6.0	2.0	4.0	4.0	3.0	21.0	324
