s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
20593.0	12364.0	12590.0	15799.0	14495.0	16382.0	15328.0	6872.0	8241.0	24800.0	2122.0	12995.0	19100.0	10863.0	12157.0	19081.0	10660.0	6067.0	13530.0	6307.0	34
21794.0	14105.0	14388.0	17580.0	16535.0	19001.0	16602.0	7537.0	8730.0	25814.0	2426.0	14974.0	20182.0	12242.0	13464.0	20369.0	12424.0	6993.0	15605.0	7406.0	35
23012.0	16128.0	16727.0	19505.0	18818.0	20377.0	18463.0	8660.0	10086.0	25972.0	2788.0	16725.0	21342.0	14085.0	14901.0	20907.0	14314.0	8114.0	17089.0	8510.0	36
23830.0	17305.0	18679.0	21701.0	19902.0	21546.0	20215.0	10172.0	11240.0	23913.0	3777.0	18184.0	22750.0	15206.0	16967.0	22113.0	16029.0	9522.0	19246.0	9829.0	37
23289.0	19510.0	20343.0	22654.0	21505.0	22685.0	21236.0	11027.0	13004.0	22485.0	4417.0	19957.0	23390.0	17405.0	19197.0	22671.0	17116.0	10309.0	20673.0	11359.0	38
22778.0	21289.0	22159.0	23192.0	22676.0	23558.0	22033.0	12686.0	14946.0	20591.0	5080.0	21088.0	22988.0	18947.0	20944.0	22916.0	18941.0	11515.0	22402.0	12334.0	39
21798.0	23111.0	23036.0	23321.0	23280.0	24438.0	22586.0	13610.0	16314.0	19721.0	6196.0	22061.0	22622.0	20874.0	21401.0	22384.0	20197.0	12503.0	23763.0	13847.0	40
21430.0	23816.0	23502.0	23480.0	23698.0	24878.0	23325.0	14889.0	17806.0	16993.0	7449.0	22907.0	21789.0	21971.0	22328.0	21662.0	22296.0	13758.0	24496.0	15230.0	41
20297.0	24248.0	24113.0	23078.0	23212.0	23998.0	22821.0	16441.0	19455.0	15064.0	8721.0	23832.0	21401.0	23163.0	22724.0	20234.0	23383.0	14563.0	24925.0	16129.0	42
18831.0	23472.0	23996.0	22253.0	23440.0	22790.0	22904.0	18091.0	20133.0	13502.0	10048.0	23624.0	19890.0	23630.0	22772.0	18308.0	23425.0	16019.0	24739.0	17303.0	43
17048.0	23110.0	23797.0	22289.0	22763.0	21823.0	22133.0	19195.0	20627.0	12251.0	11184.0	23426.0	19287.0	23530.0	22759.0	17585.0	23553.0	17616.0	23549.0	18819.0	44
16121.0	23173.0	23354.0	20710.0	21603.0	20844.0	20787.0	19511.0	21112.0	10500.0	12554.0	22380.0	17526.0	22713.0	22194.0	16411.0	23243.0	18004.0	23036.0	20515.0	45
15073.0	22298.0	21617.0	19548.0	20835.0	19487.0	19894.0	20271.0	21054.0	8931.0	13452.0	21103.0	15835.0	22016.0	21931.0	14368.0	22850.0	18448.0	21523.0	21416.0	46
12925.0	21395.0	20113.0	18049.0	19053.0	17773.0	18277.0	20375.0	20921.0	7309.0	14491.0	20068.0	14312.0	21283.0	21148.0	13324.0	22080.0	18988.0	19454.0	22294.0	47
11264.0	19722.0	18712.0	16574.0	17549.0	15661.0	16986.0	20571.0	20957.0	6117.0	15600.0	18774.0	12672.0	20124.0	19710.0	11500.0	21229.0	19304.0	17389.0	21871.0	48
10002.0	17688.0	16901.0	14864.0	15540.0	13206.0	15416.0	20502.0	20584.0	4779.0	17540.0	16762.0	10818.0	18505.0	17600.0	10042.0	19559.0	19334.0	15991.0	20869.0	49
8307.0	15859.0	15409.0	13199.0	13819.0	11759.0	14021.0	20842.0	19109.0	3945.0	18167.0	14893.0	9517.0	16897.0	15646.0	8411.0	17621.0	19227.0	14538.0	20687.0	50
7050.0	14164.0	13838.0	11689.0	11906.0	9844.0	12054.0	20097.0	17986.0	2927.0	19011.0	13128.0	7920.0	15564.0	13937.0	7103.0	16562.0	18912.0	13141.0	20380.0	51
5942.0	12596.0	11974.0	10362.0	10429.0	8347.0	10610.0	19342.0	16645.0	2377.0	19954.0	11402.0	6871.0	13841.0	12370.0	6031.0	14135.0	17783.0	11389.0	19533.0	52
4859.0	10667.0	10613.0	8855.0	9170.0	6859.0	9085.0	18094.0	15644.0	1981.0	20502.0	9733.0	5868.0	12223.0	11236.0	5091.0	12538.0	17317.0	9726.0	18471.0	53
3931.0	9256.0	9250.0	7552.0	7912.0	5634.0	7716.0	16584.0	13731.0	1528.0	21037.0	8361.0	4825.0	10719.0	9672.0	4190.0	11007.0	16742.0	8149.0	17176.0	54
3124.0	8215.0	7823.0	6126.0	6480.0	4721.0	6434.0	15225.0	12162.0	1241.0	20645.0	7088.0	3734.0	9357.0	7951.0	3497.0	9373.0	15566.0	6597.0	15676.0	55
2622.0	6850.0	6320.0	5110.0	5205.0	3750.0	5310.0	13616.0	10722.0	1152.0	20121.0	5956.0	3075.0	8069.0	6870.0	2980.0	8323.0	14658.0	5412.0	14050.0	56
2254.0	5822.0	5291.0	4251.0	4230.0	2984.0	4209.0	11602.0	9668.0	862.0	19665.0	5033.0	2382.0	6919.0	5512.0	2141.0	6967.0	13281.0	4170.0	12782.0	57
1830.0	4823.0	4210.0	3295.0	3636.0	2177.0	3262.0	10293.0	8843.0	677.0	19086.0	4401.0	1801.0	5696.0	4485.0	1677.0	5711.0	12047.0	3220.0	11352.0	58
1449.0	3870.0	3596.0	2518.0	2782.0	1722.0	2606.0	9076.0	7778.0	535.0	17964.0	3696.0	1476.0	4879.0	3859.0	1457.0	4653.0	10772.0	2554.0	9787.0	59
1206.0	2855.0	2818.0	2051.0	2447.0	1361.0	2246.0	8012.0	6742.0	489.0	17001.0	3035.0	1101.0	3938.0	3277.0	1206.0	3564.0	9792.0	2051.0	8904.0	60
947.0	2182.0	2494.0	1670.0	1869.0	1168.0	1859.0	7302.0	5833.0	447.0	15322.0	2590.0	830.0	3276.0	2579.0	910.0	2899.0	8927.0	1633.0	7565.0	61
726.0	1803.0	2009.0	1174.0	1545.0	841.0	1506.0	6213.0	4937.0	422.0	13749.0	2221.0	802.0	2505.0	2161.0	758.0	2602.0	8108.0	1278.0	6331.0	62
621.0	1329.0	1389.0	1005.0	1189.0	730.0	1343.0	5305.0	4277.0	385.0	12321.0	1771.0	738.0	2016.0	1784.0	658.0	1880.0	7191.0	1027.0	5279.0	63
636.0	1099.0	1090.0	795.0	963.0	705.0	1096.0	4300.0	3532.0	408.0	11403.0	1494.0	675.0	1536.0	1372.0	564.0	1529.0	6577.0	986.0	4080.0	64
526.0	889.0	776.0	726.0	760.0	616.0	895.0	3655.0	2900.0	399.0	9612.0	1293.0	626.0	1248.0	1188.0	513.0	1223.0	5547.0	743.0	3434.0	65
511.0	808.0	621.0	578.0	696.0	569.0	688.0	2977.0	2235.0	342.0	8551.0	1061.0	519.0	1113.0	983.0	516.0	1000.0	5100.0	702.0	2983.0	66
443.0	702.0	528.0	497.0	612.0	584.0	610.0	2372.0	1970.0	262.0	7576.0	959.0	434.0	834.0	826.0	470.0	894.0	4236.0	642.0	2226.0	67
367.0	552.0	368.0	391.0	608.0	492.0	549.0	2096.0	1624.0	261.0	6516.0	763.0	436.0	796.0	643.0	475.0	749.0	3554.0	558.0	1975.0	68
321.0	420.0	321.0	325.0	473.0	497.0	480.0	1740.0	1344.0	244.0	5337.0	622.0	371.0	614.0	583.0	387.0	685.0	3072.0	436.0	1637.0	69
314.0	452.0	306.0	364.0	426.0	444.0	462.0	1549.0	1199.0	224.0	4589.0	576.0	348.0	562.0	555.0	297.0	578.0	2448.0	387.0	1223.0	70
218.0	471.0	287.0	323.0	376.0	331.0	472.0	1282.0	1046.0	249.0	4113.0	502.0	312.0	515.0	453.0	285.0	552.0	2042.0	397.0	975.0	71
